v1	I(V2)	I(V3)	I(V4)	I(V5)
Step Information: Run=1  (Run: 1/500)
3.330000000000000e-001	3.323343e-005	1.667020e-005	8.300231e-006	4.170694e-006
6.660000000000000e-001	6.646686e-005	3.334040e-005	1.660046e-005	8.341389e-006
9.990000000000001e-001	9.970029e-005	5.001060e-005	2.490070e-005	1.251208e-005
1.000000000000000e+000	9.980009e-005	5.006066e-005	2.492562e-005	1.252461e-005
Step Information: Run=43  (Run: 43/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.334080e-005	1.659761e-005	8.332935e-006	4.156195e-006
6.660000000000000e-001	6.668159e-005	3.319521e-005	1.666587e-005	8.312390e-006
9.990000000000001e-001	1.000224e-004	4.979282e-005	2.499880e-005	1.246858e-005
1.000000000000000e+000	1.001225e-004	4.984266e-005	2.502383e-005	1.248106e-005
Step Information: Run=44  (Run: 44/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.326793e-005	1.661987e-005	8.326124e-006	4.155896e-006
6.660000000000000e-001	6.653586e-005	3.323974e-005	1.665225e-005	8.311791e-006
9.990000000000001e-001	9.980379e-005	4.985960e-005	2.497837e-005	1.246769e-005
1.000000000000000e+000	9.990370e-005	4.990951e-005	2.500338e-005	1.248017e-005
Step Information: Run=45  (Run: 45/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.328656e-005	1.663997e-005	8.319084e-006	4.146592e-006
6.660000000000000e-001	6.657311e-005	3.327994e-005	1.663817e-005	8.293185e-006
9.990000000000001e-001	9.985967e-005	4.991991e-005	2.495725e-005	1.243978e-005
1.000000000000000e+000	9.995962e-005	4.996988e-005	2.498224e-005	1.245223e-005
Step Information: Run=46  (Run: 46/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
